id,type,readonly,group,name
0,8,0,activeMarker,front
1,8,0,activeMarker,back
2,8,0,activeMarker,left
3,8,0,activeMarker,right
4,8,0,activeMarker,mode
5,8,0,activeMarker,poll
6,8,1,deck,bcActiveMarker
7,8,1,deck,bcAI
8,8,1,deck,bcBuzzer
9,8,1,deck,bcFlow
10,8,1,deck,bcFlow2
11,8,1,deck,bcLedRing
12,8,1,deck,bcLighthouse4
13,8,1,deck,bcDWM1000
14,8,1,deck,bcLoco
15,8,1,deck,bcMultiranger
16,8,1,deck,bcOA
17,8,1,deck,bcUSD
18,8,1,deck,bcZRanger
19,8,1,deck,bcZRanger2
20,8,0,motion,disable
21,8,0,motion,adaptive
22,6,0,motion,flowStdFixed
23,8,0,ring,effect
24,10,1,ring,neffect
25,8,0,ring,solidRed
26,8,0,ring,solidGreen
27,8,0,ring,solidBlue
28,8,0,ring,headlightEnable
29,6,0,ring,emptyCharge
30,6,0,ring,fullCharge
31,10,0,ring,fadeColor
32,6,0,ring,fadeTime
33,8,0,system,highlight
34,8,0,system,storageStats
35,8,0,system,storageReformat
36,0,0,system,arm
37,8,0,system,taskDump
38,0,1,system,selftestPassed
39,8,0,system,assertInfo
40,8,0,system,testLogParam
41,8,0,system,doAssert
42,8,0,loco,mode
43,6,0,tdoa2,stddev
44,6,0,tdoa3,stddev
45,9,0,multiranger,filterMask
46,8,1,usd,canLog
47,8,0,usd,logging
48,8,0,led,bitmask
49,8,0,motorPowerSet,enable
50,9,0,motorPowerSet,m1
51,9,0,motorPowerSet,m2
52,9,0,motorPowerSet,m3
53,9,0,motorPowerSet,m4
54,6,0,pm,lowVoltage
55,6,0,pm,criticalLowVoltage
56,8,1,imu_sensors,BMP388
57,6,0,imu_sensors,imuPhi
58,6,0,imu_sensors,imuTheta
59,6,0,imu_sensors,imuPsi
60,8,0,syslink,probe
61,8,0,usec,reset
62,8,0,colAv,enable
63,6,0,colAv,ellipsoidX
64,6,0,colAv,ellipsoidY
65,6,0,colAv,ellipsoidZ
66,6,0,colAv,bboxMinX
67,6,0,colAv,bboxMinY
68,6,0,colAv,bboxMinZ
69,6,0,colAv,bboxMaxX
70,6,0,colAv,bboxMaxY
71,6,0,colAv,bboxMaxZ
72,6,0,colAv,horizon
73,6,0,colAv,maxSpeed
74,6,0,colAv,sidestepThrsh
75,2,0,colAv,maxPeerLocAge
76,6,0,colAv,vorTol
77,2,0,colAv,vorIters
78,8,0,commander,enHighLevel
79,6,0,cppm,rateRoll
80,6,0,cppm,ratePitch
81,6,0,cppm,angPitch
82,6,0,cppm,angRoll
83,6,0,cppm,rateYaw
84,6,0,hlCommander,vtoff
85,6,0,hlCommander,vland
86,8,0,flightmode,althold
87,8,0,flightmode,poshold
88,8,0,flightmode,posSet
89,8,0,flightmode,yawMode
90,8,0,flightmode,stabModeRoll
91,8,0,flightmode,stabModePitch
92,8,0,flightmode,stabModeYaw
